Anmeldte voldsforbrydelser pr. 1.000 indb.;Kom.nr;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Københavns Kommune;101;2,8;2,9;2,1;2;1,9;1,9;2,1;2,1;2;2;2,3;2,5;2,7;2,8;2,8;2,4;2,5;2,2;2,2;2;2,4;2,8;M;M
Frederiksberg Kommune;147;1,4;1,3;1,4;1,5;1,6;1,7;1,9;2,2;1,8;1,9;1,9;1,9;1,7;1,4;1;1,1;1;0,8;0,7;0,8;1;1,1;M;M
Ballerup Kommune;151;2;2,3;1,8;1,3;1,2;1,3;1,3;1,9;1,9;2,3;2,2;2,3;2,3;2,4;2,2;2,2;1,9;1,6;1,7;1,4;1,5;1,4;M;M
Brøndby Kommune;153;2;2,2;1,7;1,7;2,1;2,3;1,8;2,7;2,3;2,3;2,5;3,1;3;2,4;2,7;2,6;2,3;2,4;2,6;2,1;2;2,3;M;M
Dragør Kommune;155;1,3;1,5;1,8;1,5;0,9;1;1,3;0,8;1,1;0,8;1,5;0,9;1,1;1,7;0,8;0,5;0,7;0,7;0,9;0,6;0,4;0,6;M;M
Gentofte Kommune;157;1,4;1,4;1,1;1,3;0,9;1,3;1,2;1,4;1,1;1;1;1,3;0,9;1,3;1,3;0,9;1,2;0,8;1;0,9;0,8;0,7;M;M
Gladsaxe Kommune;159;1,2;1,3;1,1;0,9;1;0,8;0,9;1,3;1,3;1,7;1,6;1,7;1,7;1,4;1,9;1,5;1,4;1,4;1;1,3;1;1;M;M
Glostrup Kommune;161;2,5;2,3;1,7;1,7;1,4;2,2;2,2;2,6;2,3;4;3;3,5;3,7;2,5;3;2,9;2,9;3,1;2,2;2,1;2,1;2,1;M;M
Herlev Kommune;163;1,9;1,7;1,4;1,4;0,8;0,8;1,4;1,7;1,2;1,6;3;2,7;1,8;2,2;2,2;2,1;2,2;2,3;2,3;1,4;1,2;1,6;M;M
Albertslund Kommune;165;3,2;3,1;2,8;3;2,8;3,1;3,2;3,2;3;3,4;3,7;3;3;2,6;3,7;3,2;2,8;3,2;2,8;2,3;1,6;3;M;M
Hvidovre Kommune;167;2,6;2,3;2,2;2,2;1,8;2;2;1,8;2,1;1,8;1,9;2;2,7;2,7;2,7;2,5;1,7;1,9;1,9;1,3;1,7;1,2;M;M
Høje-Taastrup Kommune;169;2,4;2,3;2,3;2,2;2,4;1,7;2,3;3,2;2,6;2,6;2,6;3,1;2,3;2;1,9;1,8;2,3;2,1;1,5;1,7;1,7;2;M;M
